job_id,machine_id,op_seq,A_lj,S_lj,C_lj,planned_C_lj,tidal_wait,PELABUHAN_LOGIS,congestion_wait,total_wait
8,19,9,415.0,415.0,418.0,418.0,0.0,BATULICIN,0.0,0.0
9,22,0,76.0,76.0,88.0,88.0,0.0,TANJUNG PRIOK,0.0,0.0
9,4,1,113.0,113.0,117.0,117.0,0.0,SURABAYA,0.0,0.0
9,15,2,144.0,144.0,147.0,147.0,0.0,MAKASSAR,0.0,0.0
9,37,3,182.0,182.0,184.0,184.0,0.0,AMBON,0.0,0.0
9,38,4,204.0,204.0,207.0,207.0,0.0,SORONG,0.0,0.0
9,41,5,220.0,220.0,222.0,222.0,0.0,MANOKWARI,0.0,0.0
9,54,6,230.0,230.0,231.0,231.0,0.0,WASIOR,0.0,0.0
9,44,7,238.0,238.0,240.0,240.0,0.0,NABIRE,0.0,0.0
9,40,8,262.0,262.0,268.0,268.0,0.0,JAYAPURA,0.0,0.0
9,44,9,288.0,288.0,290.0,290.0,0.0,NABIRE,0.0,0.0
10,4,0,20.0,20.0,26.0,26.0,0.0,SURABAYA,0.0,0.0
10,19,1,57.0,57.0,61.0,61.0,0.0,BATULICIN,0.0,0.0
10,13,2,100.0,100.0,108.0,108.0,0.0,SEMARANG,0.0,0.0
10,30,3,154.0,154.0,156.0,156.0,0.0,PONTIANAK,0.0,0.0
10,58,4,179.0,179.0,181.0,181.0,0.0,TANJUNG PANDAN,0.0,0.0
10,22,5,199.0,199.0,226.0,226.0,0.0,TANJUNG PRIOK,0.0,0.0
10,58,6,244.0,244.0,246.0,246.0,0.0,TANJUNG PANDAN,0.0,0.0
10,30,7,268.0,268.0,271.0,271.0,0.0,PONTIANAK,0.0,0.0
10,13,8,315.0,315.0,325.0,325.0,0.0,SEMARANG,0.0,0.0
10,6,9,352.0,353.0,357.0,356.0,1.0,KUMAI,0.0,1.0
11,22,0,266.0,266.0,283.0,283.0,0.0,TANJUNG PRIOK,0.0,0.0
11,60,1,314.0,314.0,317.0,317.0,0.0,BATAM,0.0,0.0
11,61,2,320.0,320.0,321.0,321.0,0.0,TANJUNG BALAI KARIMUN,0.0,0.0
11,62,3,343.0,343.0,347.0,347.0,0.0,BELAWAN,0.0,0.0
11,61,4,369.0,369.0,370.0,370.0,0.0,TANJUNG BALAI KARIMUN,0.0,0.0
11,60,5,373.0,373.0,382.0,382.0,0.0,BATAM,0.0,0.0
11,22,6,412.0,412.0,429.0,429.0,0.0,TANJUNG PRIOK,0.0,0.0
11,60,7,460.0,460.0,467.0,467.0,0.0,BATAM,0.0,0.0
11,61,8,470.0,470.0,471.0,471.0,0.0,TANJUNG BALAI KARIMUN,0.0,0.0
11,62,9,493.0,493.0,497.0,497.0,0.0,BELAWAN,0.0,0.0
12,22,0,355.0,355.0,364.0,364.0,0.0,TANJUNG PRIOK,0.0,0.0
12,4,1,387.0,387.0,391.0,391.0,0.0,SURABAYA,0.0,0.0
12,15,2,418.0,418.0,421.0,421.0,0.0,MAKASSAR,0.0,0.0
12,36,3,435.0,435.0,437.0,437.0,0.0,BAUBAU,0.0,0.0
12,37,4,461.0,461.0,464.0,464.0,0.0,AMBON,0.0,0.0
12,49,5,472.0,472.0,474.0,474.0,0.0,BANDA,0.0,0.0
12,48,6,486.0,486.0,489.0,489.0,0.0,TUAL,0.0,0.0
12,47,7,496.0,496.0,499.0,499.0,0.0,DOBO,0.0,0.0
12,45,8,508.0,508.0,510.0,510.0,0.0,KAIMANA,0.0,0.0
12,47,9,519.0,519.0,521.0,521.0,0.0,DOBO,0.0,0.0
13,15,0,244.0,244.0,256.0,256.0,0.0,MAKASSAR,0.0,0.0
13,16,1,261.0,261.0,264.0,264.0,0.0,PAREPARE,0.0,0.0
13,31,2,280.0,280.0,282.0,282.0,0.0,BALIKPAPAN,0.0,0.0
13,16,3,298.0,298.0,301.0,301.0,0.0,PAREPARE,0.0,0.0
13,15,4,306.0,306.0,309.0,309.0,0.0,MAKASSAR,0.0,0.0
13,36,5,324.0,324.0,326.0,326.0,0.0,BAUBAU,0.0,0.0
13,34,6,338.0,338.0,340.0,340.0,0.0,MAUMERE,0.0,0.0
13,64,7,345.0,345.0,347.0,347.0,0.0,LARANTUKA,0.0,0.0
13,36,8,359.0,359.0,361.0,361.0,0.0,BAUBAU,0.0,0.0
13,15,9,376.0,376.0,380.0,380.0,0.0,MAKASSAR,0.0,0.0
14,22,0,13.0,13.0,48.0,48.0,0.0,TANJUNG PRIOK,0.0,0.0
14,4,1,88.0,88.0,92.0,92.0,0.0,SURABAYA,0.0,0.0
14,59,2,120.0,121.0,141.0,140.0,1.0,SAMPIT,0.0,1.0
14,13,3,173.0,173.0,179.0,178.0,0.0,SEMARANG,0.0,0.0
14,6,4,206.0,206.0,208.0,207.0,0.0,KUMAI,0.0,0.0
