job_id,voyage,first_arrival_hour,last_completion_hour,due_window_hours,due_hour_absolute,tardiness_hours,lateness_hours,earliness_hours,debug_status
2,13,4236.0,4561.0,336.0,4572.0,0.0,-11.0,11.0,ON_TIME
2,16,6236.0,6552.0,336.0,6572.0,0.0,-20.0,20.0,ON_TIME
2,17,6580.0,6884.0,336.0,6916.0,0.0,-32.0,32.0,ON_TIME
2,19,7252.0,7560.0,336.0,7588.0,0.0,-28.0,28.0,ON_TIME
2,20,7587.0,7896.0,336.0,7923.0,0.0,-27.0,27.0,ON_TIME
2,22,8257.0,8483.0,336.0,8593.0,0.0,-110.0,110.0,ON_TIME
3,1,76.0,397.0,336.0,412.0,0.0,-15.0,15.0,ON_TIME
3,2,422.0,734.0,336.0,758.0,0.0,-24.0,24.0,ON_TIME
3,3,760.0,1092.0,336.0,1096.0,0.0,-4.0,4.0,ON_TIME
3,4,1118.0,1441.0,336.0,1454.0,0.0,-13.0,13.0,ON_TIME
3,7,2253.0,2585.0,336.0,2589.0,0.0,-4.0,4.0,ON_TIME
3,9,3023.0,3308.0,336.0,3359.0,0.0,-51.0,51.0,ON_TIME
3,10,3360.0,3677.0,336.0,3696.0,0.0,-19.0,19.0,ON_TIME
3,11,3701.0,4016.0,336.0,4037.0,0.0,-21.0,21.0,ON_TIME
3,12,4040.0,4353.0,336.0,4376.0,0.0,-23.0,23.0,ON_TIME
3,15,5715.0,6027.0,336.0,6051.0,0.0,-24.0,24.0,ON_TIME
3,16,6050.0,6363.0,336.0,6386.0,0.0,-23.0,23.0,ON_TIME
3,17,6386.0,6699.0,336.0,6722.0,0.0,-23.0,23.0,ON_TIME
3,18,6722.0,7035.0,336.0,7058.0,0.0,-23.0,23.0,ON_TIME
3,19,7058.0,7391.0,336.0,7394.0,0.0,-3.0,3.0,ON_TIME
3,20,7394.0,7707.0,336.0,7730.0,0.0,-23.0,23.0,ON_TIME
3,21,7730.0,8043.0,336.0,8066.0,0.0,-23.0,23.0,ON_TIME
