job_id,voyage,first_arrival_hour,baseline_last_completion_hour,due_window_hours,due_hour_absolute,baseline_tardiness_hours,baseline_lateness_hours,baseline_earliness_hours,baseline_status,optimized_last_completion_hour,optimized_tardiness_hours,optimized_lateness_hours,optimized_earliness_hours,optimized_status,delta_completion_hours,delta_tardiness_hours,delta_lateness_hours,status_transition
10,1,20.0,181.0,384.0,404.0,0.0,-223.0,223.0,ON_TIME,181.0,0.0,-223.0,223.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
10,2,199.0,466.0,384.0,583.0,0.0,-117.0,117.0,ON_TIME,490.0,0.0,-93.0,93.0,ON_TIME,24.0,0.0,24.0,ON_TIME -> ON_TIME
10,3,483.0,794.0,384.0,867.0,0.0,-73.0,73.0,ON_TIME,799.0,0.0,-68.0,68.0,ON_TIME,5.0,0.0,5.0,ON_TIME -> ON_TIME
10,5,2107.0,2404.0,384.0,2491.0,0.0,-87.0,87.0,ON_TIME,2404.0,0.0,-87.0,87.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
10,6,2421.0,2578.0,384.0,2805.0,0.0,-227.0,227.0,ON_TIME,2578.0,0.0,-227.0,227.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
11,2,266.0,382.0,168.0,434.0,0.0,-52.0,52.0,ON_TIME,382.0,0.0,-52.0,52.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
11,3,412.0,527.0,168.0,580.0,0.0,-53.0,53.0,ON_TIME,577.0,0.0,-3.0,3.0,ON_TIME,50.0,0.0,50.0,ON_TIME -> ON_TIME
11,4,557.0,684.0,168.0,725.0,0.0,-41.0,41.0,ON_TIME,684.0,0.0,-41.0,41.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
11,5,714.0,857.0,168.0,882.0,0.0,-25.0,25.0,ON_TIME,857.0,0.0,-25.0,25.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
11,6,887.0,1020.0,168.0,1055.0,0.0,-35.0,35.0,ON_TIME,1020.0,0.0,-35.0,35.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
11,7,1050.0,1077.0,168.0,1218.0,0.0,-141.0,141.0,ON_TIME,1077.0,0.0,-141.0,141.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
12,2,355.0,635.0,336.0,691.0,0.0,-56.0,56.0,ON_TIME,633.0,0.0,-58.0,58.0,ON_TIME,-2.0,0.0,-2.0,ON_TIME -> ON_TIME
12,4,984.0,1307.0,336.0,1320.0,0.0,-13.0,13.0,ON_TIME,1337.0,17.0,17.0,0.0,LATE,30.0,17.0,30.0,ON_TIME -> LATE
12,5,1319.0,1629.0,336.0,1655.0,0.0,-26.0,26.0,ON_TIME,1629.0,0.0,-26.0,26.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
12,7,2092.0,2116.0,336.0,2428.0,0.0,-312.0,312.0,ON_TIME,2116.0,0.0,-312.0,312.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
13,2,244.0,502.0,336.0,580.0,0.0,-78.0,78.0,ON_TIME,547.0,0.0,-33.0,33.0,ON_TIME,45.0,0.0,45.0,ON_TIME -> ON_TIME
13,3,507.0,839.0,336.0,843.0,0.0,-4.0,4.0,ON_TIME,838.0,0.0,-5.0,5.0,ON_TIME,-1.0,0.0,-1.0,ON_TIME -> ON_TIME
13,4,843.0,1019.0,336.0,1179.0,0.0,-160.0,160.0,ON_TIME,1031.0,0.0,-148.0,148.0,ON_TIME,12.0,0.0,12.0,ON_TIME -> ON_TIME
14,4,1082.0,1402.0,336.0,1418.0,0.0,-16.0,16.0,ON_TIME,1399.0,0.0,-19.0,19.0,ON_TIME,-3.0,0.0,-3.0,ON_TIME -> ON_TIME
14,5,1413.0,1416.0,336.0,1749.0,0.0,-333.0,333.0,ON_TIME,1416.0,0.0,-333.0,333.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
15,3,1692.0,2100.0,672.0,2364.0,0.0,-264.0,264.0,ON_TIME,2125.0,0.0,-239.0,239.0,ON_TIME,25.0,0.0,25.0,ON_TIME -> ON_TIME
15,4,2126.0,2464.0,672.0,2798.0,0.0,-334.0,334.0,ON_TIME,2464.0,0.0,-334.0,334.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
16,1,173.0,292.0,336.0,509.0,0.0,-217.0,217.0,ON_TIME,287.0,0.0,-222.0,222.0,ON_TIME,-5.0,0.0,-5.0,ON_TIME -> ON_TIME
16,2,320.0,620.0,336.0,656.0,0.0,-36.0,36.0,ON_TIME,614.0,0.0,-42.0,42.0,ON_TIME,-6.0,0.0,-6.0,ON_TIME -> ON_TIME
16,3,640.0,892.0,336.0,976.0,0.0,-84.0,84.0,ON_TIME,915.0,0.0,-61.0,61.0,ON_TIME,23.0,0.0,23.0,ON_TIME -> ON_TIME
16,5,1969.0,2089.0,336.0,2305.0,0.0,-216.0,216.0,ON_TIME,2089.0,0.0,-216.0,216.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
16,6,2119.0,2443.0,336.0,2455.0,0.0,-12.0,12.0,ON_TIME,2443.0,0.0,-12.0,12.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
16,7,2445.0,2627.0,336.0,2781.0,0.0,-154.0,154.0,ON_TIME,2627.0,0.0,-154.0,154.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
17,1,36.0,358.0,336.0,372.0,0.0,-14.0,14.0,ON_TIME,380.0,8.0,8.0,0.0,LATE,22.0,8.0,22.0,ON_TIME -> LATE
17,2,372.0,666.0,336.0,708.0,0.0,-42.0,42.0,ON_TIME,679.0,0.0,-29.0,29.0,ON_TIME,13.0,0.0,13.0,ON_TIME -> ON_TIME
18,1,161.0,481.0,336.0,497.0,0.0,-16.0,16.0,ON_TIME,486.0,0.0,-11.0,11.0,ON_TIME,5.0,0.0,5.0,ON_TIME -> ON_TIME
18,2,497.0,818.0,336.0,833.0,0.0,-15.0,15.0,ON_TIME,813.0,0.0,-20.0,20.0,ON_TIME,-5.0,0.0,-5.0,ON_TIME -> ON_TIME
18,3,833.0,1149.0,336.0,1169.0,0.0,-20.0,20.0,ON_TIME,1153.0,0.0,-16.0,16.0,ON_TIME,4.0,0.0,4.0,ON_TIME -> ON_TIME
18,4,1169.0,1487.0,336.0,1505.0,0.0,-18.0,18.0,ON_TIME,1485.0,0.0,-20.0,20.0,ON_TIME,-2.0,0.0,-2.0,ON_TIME -> ON_TIME
18,5,1505.0,1749.0,336.0,1841.0,0.0,-92.0,92.0,ON_TIME,1749.0,0.0,-92.0,92.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
18,6,1769.0,1791.0,336.0,2105.0,0.0,-314.0,314.0,ON_TIME,1806.0,0.0,-299.0,299.0,ON_TIME,15.0,0.0,15.0,ON_TIME -> ON_TIME
19,4,1318.0,1649.0,336.0,1654.0,0.0,-5.0,5.0,ON_TIME,1649.0,0.0,-5.0,5.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
19,6,2087.0,2101.0,336.0,2423.0,0.0,-322.0,322.0,ON_TIME,2101.0,0.0,-322.0,322.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
20,1,240.0,861.0,672.0,912.0,0.0,-51.0,51.0,ON_TIME,860.0,0.0,-52.0,52.0,ON_TIME,-1.0,0.0,-1.0,ON_TIME -> ON_TIME
20,2,892.0,1507.0,672.0,1564.0,0.0,-57.0,57.0,ON_TIME,1507.0,0.0,-57.0,57.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
20,3,1538.0,2169.0,672.0,2210.0,0.0,-41.0,41.0,ON_TIME,2169.0,0.0,-41.0,41.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
20,4,2202.0,2839.0,672.0,2874.0,0.0,-35.0,35.0,ON_TIME,2839.0,0.0,-35.0,35.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
20,5,2872.0,3196.0,672.0,3544.0,0.0,-348.0,348.0,ON_TIME,3196.0,0.0,-348.0,348.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
21,5,2920.0,3255.0,336.0,3256.0,0.0,-1.0,1.0,ON_TIME,3255.0,0.0,-1.0,1.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
21,6,3265.0,3315.0,336.0,3601.0,0.0,-286.0,286.0,ON_TIME,3315.0,0.0,-286.0,286.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
22,1,55.0,352.0,336.0,391.0,0.0,-39.0,39.0,ON_TIME,352.0,0.0,-39.0,39.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
22,2,386.0,705.0,336.0,722.0,0.0,-17.0,17.0,ON_TIME,710.0,0.0,-12.0,12.0,ON_TIME,5.0,0.0,5.0,ON_TIME -> ON_TIME
22,3,725.0,1049.0,336.0,1061.0,0.0,-12.0,12.0,ON_TIME,1030.0,0.0,-31.0,31.0,ON_TIME,-19.0,0.0,-19.0,ON_TIME -> ON_TIME
22,4,1076.0,1376.0,336.0,1412.0,0.0,-36.0,36.0,ON_TIME,1386.0,0.0,-26.0,26.0,ON_TIME,10.0,0.0,10.0,ON_TIME -> ON_TIME
22,5,1409.0,1706.0,336.0,1745.0,0.0,-39.0,39.0,ON_TIME,1706.0,0.0,-39.0,39.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
22,6,1740.0,1743.0,336.0,2076.0,0.0,-333.0,333.0,ON_TIME,1743.0,0.0,-333.0,333.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
23,6,2466.0,2478.0,336.0,2802.0,0.0,-324.0,324.0,ON_TIME,2478.0,0.0,-324.0,324.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
24,2,327.0,633.0,336.0,663.0,0.0,-30.0,30.0,ON_TIME,649.0,0.0,-14.0,14.0,ON_TIME,16.0,0.0,16.0,ON_TIME -> ON_TIME
24,3,663.0,971.0,336.0,999.0,0.0,-28.0,28.0,ON_TIME,969.0,0.0,-30.0,30.0,ON_TIME,-2.0,0.0,-2.0,ON_TIME -> ON_TIME
24,4,999.0,1305.0,336.0,1335.0,0.0,-30.0,30.0,ON_TIME,1312.0,0.0,-23.0,23.0,ON_TIME,7.0,0.0,7.0,ON_TIME -> ON_TIME
24,5,1335.0,1643.0,336.0,1671.0,0.0,-28.0,28.0,ON_TIME,1647.0,0.0,-24.0,24.0,ON_TIME,4.0,0.0,4.0,ON_TIME -> ON_TIME
24,6,1671.0,1953.0,336.0,2007.0,0.0,-54.0,54.0,ON_TIME,1953.0,0.0,-54.0,54.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
24,7,1983.0,1986.0,336.0,2319.0,0.0,-333.0,333.0,ON_TIME,1986.0,0.0,-333.0,333.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
